SigMax/CI,r/a,Region
1.634646432,1.276923077,EDZi
1.556830063,1.276923077,EDZi
2.297168527,1.4,EDZi
2.63864276,1.461538462,EDZi
2.482591212,1.461538462,EDZi
2.337905237,1.461538462,EDZi
1.949664946,1.338461538,EDZi
2.280610866,1.461538462,EDZi
2.142585069,1.338461538,EDZi
1.744727047,1.369230769,EDZi
2.205305802,1.4,EDZi
2.013242663,1.338461538,EDZi
2.539121276,1.4,EDZi
2.019184748,1.4,EDZi
2.041330645,1.415384615,EDZi
2.163461538,1.369230769,EDZi
2.410714286,1.492307692,EDZi
2.163461538,1.276923077,EDZi
2.008928571,1.307692308,EDZi
2.34375,1.4,EDZi
1.962209302,1.369230769,EDZi
2.109375,1.461538462,EDZi
2.025,1.4,EDZi
1.952974308,1.369230769,EDZi
2.058763725,1.338461538,EDZi
1.972146474,1.369230769,EDZi
1.842517106,1.369230769,EDZi
1.768126572,1.092307692,EDZi
1.952672992,1.369230769,EDZi
1.864366208,1.369230769,EDZi
1.790134371,1.338461538,EDZi
2.435767898,1.4,EDZi
5.580357143,1.707692308,EDZi
3.288191738,1.584615385,EDZi
1.698369565,1.246153846,EDZi
2.152423469,1.415384615,EDZi
2.844740391,1.461538462,EDZi
1.476119664,1.246153846,EDZi
1.973222638,1.369230769,EDZi
1.717732085,1.292307692,EDZi
1.850328947,1.292307692,EDZi
3.068181818,1.538461538,EDZi
1.431054953,1.215384615,EDZi
2.273383372,1.4,EDZi
5.208333333,1.707692308,EDZi
3.068978956,1.584615385,EDZi
1.585144928,1.246153846,EDZi
2.008928571,1.415384615,EDZi
2.655091032,1.461538462,EDZi
1.377711686,1.246153846,EDZi
1.841674462,1.369230769,EDZi
1.603216612,1.292307692,EDZi
1.726973684,1.292307692,EDZi
2.863636364,1.569230769,EDZi
1.335651289,1.215384615,EDZi
2.6,1.538461538,EDZi
2.9,1.615384615,EDZi
2.8,1.369230769,EDZi
2.9,1.492307692,EDZi
2.9,1.615384615,EDZi
2.6,1.4,EDZi
2.7,1.492307692,EDZi
2.9,1.492307692,EDZi
3,1.492307692,EDZi
2,1.461538462,EDZi
2.5,1.492307692,EDZi
2.7,1.553846154,EDZi
2.8,1.584615385,EDZi
3,1.646153846,EDZi
2.5,1.446153846,EDZi
2.7,1.461538462,EDZi
3,1.538461538,EDZi
3,1.584615385,EDZi
2,1.461538462,EDZi
1.5,1.292307692,EDZi
3,1.412307692,EDZi
2.5,1.455384615,EDZi
2,1.369230769,EDZi
1.5,1.292307692,EDZi
3,1.584615385,EDZi
2.5,1.492307692,EDZi
1.5,1.246153846,EDZi
3,1.538461538,EDZi
2.5,1.369230769,EDZi
2,1.4,EDZi
1.5,1.215384615,EDZi
3,1.707692308,EDZi
2,1.4,EDZi
1.5,1.246153846,EDZi
3,1.523076923,EDZi
2.5,1.492307692,EDZi
2,1.415384615,EDZi
1.5,1.246153846,EDZi
2,1.461538462,EDZi
1.5,1.338461538,EDZi
3,1.492307692,EDZi
2.5,1.323076923,EDZi
2,1.369230769,EDZi
1.5,1.369230769,EDZi
3,1.692307692,EDZi
2,1.4,EDZi
1.5,1.338461538,EDZi
3,1.538461538,EDZi
2.5,1.369230769,EDZi
2,1.369230769,EDZi
1.5,1.276923077,EDZi
2.5,1.492307692,EDZi
1.5,1.338461538,EDZi
3,1.461538462,EDZi
2.5,1.461538462,EDZi
2,1.307692308,EDZi
1.5,1.353846154,EDZi
2.5,1.538461538,EDZi
2,1.492307692,EDZi
3,1.292307692,EDZi
2.5,1.461538462,EDZi
2,1.4,EDZi
2.762770138,1.461538462,EDZi
1.496010638,1.276923077,EDZi
1.401578073,1.246153846,EDZi
2.00415677,1.323076923,EDZi
2.114131797,1.369230769,EDZi
2.52016129,1.338461538,EDZi
3.302348337,1.461538462,EDZi
2.744795055,1.461538462,EDZi
2.97934322,1.492307692,EDZi
3.209395207,1.492307692,EDZi
3.702281703,1.538461538,EDZi
3.104304636,1.492307692,EDZi
1.777812895,1.338461538,EDZi
1.629804906,1.276923077,EDZi
2.749266862,1.461538462,EDZi
1.76037972,1.338461538,EDZi
2.122641509,1.338461538,EDZi
2.34962406,1.4,EDZi
3.964990602,1.553846154,EDZi
3.083881579,1.338461538,EDZi
1.416400873,1.246153846,EDZi
2.887577002,1.461538462,EDZi
2.429455802,1.338461538,EDZi
1.954029643,1.338461538,EDZi
1.651497358,1.292307692,EDZi
1.627918194,1.338461538,EDZi
2.023866635,1.369230769,EDZi
2.314814815,1.461538462,EDZi
1.468157299,1.292307692,EDZi
1.290927173,1.123076923,EDZi
1.940993789,1.369230769,EDZi
2.02629683,1.415384615,EDZi
2.242822967,1.369230769,EDZi
2.875766871,1.492307692,EDZi
2.744795055,1.461538462,EDZi
2.737670344,1.461538462,EDZi
2.609805135,1.461538462,EDZi
2.583435395,1.461538462,EDZi
2.764580603,1.492307692,EDZi
1.709726444,1.338461538,EDZi
2.397017045,1.415384615,EDZi
1.629804906,1.276923077,EDZi
2.562253265,1.4,EDZi
1.316097333,1.246153846,EDZi
1.934762669,1.369230769,EDZi
2.34962406,1.4,EDZi
3.528858218,1.492307692,EDZi
2.903475568,1.461538462,EDZi
1.365291262,1.246153846,EDZi
2.566149635,1.276923077,EDZi
1.877085651,1.292307692,EDZi
1.77332913,1.276923077,EDZi
1.381158946,1.246153846,EDZi
1.52301444,1.246153846,EDZi
2.218059937,1.276923077,EDZi
1.769609899,1.246153846,EDZi
2.988841658,1.984615385,EDZi
2.988841658,1.907692308,EDZi
2.988841658,1.615384615,EDZi
2.988841658,1.430769231,EDZi
2.988841658,1.461538462,EDZi
2.988841658,1.584615385,EDZi
2.988841658,1.461538462,EDZi
2.988841658,1.215384615,EDZi
2.988841658,1.153846154,EDZi
2.988841658,1.061538462,EDZi
1.948614319,1.369230769,EDZi
4.464285714,1.8,EDZi
2.63055339,1.492307692,EDZi
1.358695652,1.215384615,EDZi
1.806745182,1.338461538,EDZi
1.721938776,1.369230769,EDZi
2.275792313,1.461538462,EDZi
1.57857811,1.307692308,EDZi
1.480263158,1.276923077,EDZi
2.454545455,1.4,EDZi
1.144843962,1.092307692,EDZi
2.289687924,1.461538462,EDZi
1.818706697,1.4,EDZi
4.166666667,2.015384615,EDZi
2.455183164,1.615384615,EDZi
1.268115942,1.215384615,EDZi
1.686295503,1.369230769,EDZi
1.607142857,1.323076923,EDZi
2.124072825,1.538461538,EDZi
1.102169349,1.153846154,EDZi
1.47333957,1.246153846,EDZi
1.28257329,1.246153846,EDZi
1.381578947,1.369230769,EDZi
2.290909091,1.584615385,EDZi
1.068521031,1.153846154,EDZi
2.137042062,1.538461538,EDZi
2.435767898,1.492307692,EDZi
5.580357143,1.861538462,EDZi
3.288191738,1.615384615,EDZi
1.698369565,1.369230769,EDZi
2.258431478,1.446153846,EDZi
2.152423469,1.492307692,EDZi
2.844740391,1.584615385,EDZi
1.476119664,1.292307692,EDZi
1.973222638,1.369230769,EDZi
